,did,name,version,uploader,status,format,MajorityClassSize,MaxNominalAttDistinctValues,MinorityClassSize,NumberOfClasses,NumberOfFeatures,NumberOfInstances,NumberOfInstancesWithMissingValues,NumberOfMissingValues,NumberOfNumericFeatures,NumberOfSymbolicFeatures,first_time
589,589,fri_c2_1000_25,1,2,active,ARFF,,,,0.0,26.0,1000.0,0.0,0.0,26.0,0.0,0.03899955749511719
590,590,fri_c0_1000_50,1,2,active,ARFF,,,,0.0,51.0,1000.0,0.0,0.0,51.0,0.0,0.04000067710876465
591,591,fri_c1_100_10,1,2,active,ARFF,,,,0.0,11.0,100.0,0.0,0.0,11.0,0.0,0.03399991989135742
592,592,fri_c4_1000_25,1,2,active,ARFF,,,,0.0,26.0,1000.0,0.0,0.0,26.0,0.0,0.03999948501586914
593,593,fri_c1_1000_10,1,2,active,ARFF,,,,0.0,11.0,1000.0,0.0,0.0,11.0,0.0,0.03500032424926758
594,594,fri_c2_100_5,1,2,active,ARFF,,,,0.0,6.0,100.0,0.0,0.0,6.0,0.0,0.032999515533447266
595,595,fri_c0_1000_10,1,2,active,ARFF,,,,0.0,11.0,1000.0,0.0,0.0,11.0,0.0,0.034000396728515625
596,596,fri_c2_250_5,1,2,active,ARFF,,,,0.0,6.0,250.0,0.0,0.0,6.0,0.0,0.03399968147277832
597,597,fri_c2_500_5,1,2,active,ARFF,,,,0.0,6.0,500.0,0.0,0.0,6.0,0.0,0.035999298095703125
598,598,fri_c0_1000_25,1,2,active,ARFF,,,,0.0,26.0,1000.0,0.0,0.0,26.0,0.0,0.039000749588012695
599,599,fri_c2_1000_5,1,2,active,ARFF,,,,0.0,6.0,1000.0,0.0,0.0,6.0,0.0,0.03399991989135742
600,600,fri_c0_100_50,1,2,active,ARFF,,,,0.0,51.0,100.0,0.0,0.0,51.0,0.0,0.03800010681152344
601,601,fri_c1_250_5,1,2,active,ARFF,,,,0.0,6.0,250.0,0.0,0.0,6.0,0.0,0.03400015830993652
602,602,fri_c3_250_10,1,2,active,ARFF,,,,0.0,11.0,250.0,0.0,0.0,11.0,0.0,0.03400397300720215
603,603,fri_c0_250_50,1,2,active,ARFF,,,,0.0,51.0,250.0,0.0,0.0,51.0,0.0,0.03799605369567871
604,604,fri_c4_500_10,1,2,active,ARFF,,,,0.0,11.0,500.0,0.0,0.0,11.0,0.0,0.03399968147277832
605,605,fri_c2_250_25,1,2,active,ARFF,,,,0.0,26.0,250.0,0.0,0.0,26.0,0.0,0.03602933883666992
606,606,fri_c2_1000_10,1,2,active,ARFF,,,,0.0,11.0,1000.0,0.0,0.0,11.0,0.0,0.034970760345458984
607,607,fri_c4_1000_50,1,2,active,ARFF,,,,0.0,51.0,1000.0,0.0,0.0,51.0,0.0,0.049001216888427734
608,608,fri_c3_1000_10,1,2,active,ARFF,,,,0.0,11.0,1000.0,0.0,0.0,11.0,0.0,0.04599952697753906
609,609,fri_c0_1000_5,1,2,active,ARFF,,,,0.0,6.0,1000.0,0.0,0.0,6.0,0.0,0.033998966217041016
610,610,fri_c4_500_100,1,2,active,ARFF,,,,0.0,101.0,500.0,0.0,0.0,101.0,0.0,0.04599928855895996
611,611,fri_c3_100_5,1,2,active,ARFF,,,,0.0,6.0,100.0,0.0,0.0,6.0,0.0,0.03500056266784668
612,612,fri_c1_1000_5,1,2,active,ARFF,,,,0.0,6.0,1000.0,0.0,0.0,6.0,0.0,0.03499913215637207
613,613,fri_c3_250_5,1,2,active,ARFF,,,,0.0,6.0,250.0,0.0,0.0,6.0,0.0,0.033000946044921875
614,614,fri_c1_250_25,1,2,active,ARFF,,,,0.0,26.0,250.0,0.0,0.0,26.0,0.0,0.037999868392944336
615,615,fri_c4_250_10,1,2,active,ARFF,,,,0.0,11.0,250.0,0.0,0.0,11.0,0.0,0.03500008583068848
616,616,fri_c4_500_50,1,2,active,ARFF,,,,0.0,51.0,500.0,0.0,0.0,51.0,0.0,0.04899907112121582
617,617,fri_c3_500_5,1,2,active,ARFF,,,,0.0,6.0,500.0,0.0,0.0,6.0,0.0,0.03399968147277832
618,618,fri_c3_1000_50,1,2,active,ARFF,,,,0.0,51.0,1000.0,0.0,0.0,51.0,0.0,0.03999972343444824
619,619,fri_c4_250_50,1,2,active,ARFF,,,,0.0,51.0,250.0,0.0,0.0,51.0,0.0,0.04903769493103027
620,620,fri_c1_1000_25,1,2,active,ARFF,,,,0.0,26.0,1000.0,0.0,0.0,26.0,0.0,0.040963172912597656
621,621,fri_c0_100_10,1,2,active,ARFF,,,,0.0,11.0,100.0,0.0,0.0,11.0,0.0,0.03499937057495117
622,622,fri_c2_1000_50,1,2,active,ARFF,,,,0.0,51.0,1000.0,0.0,0.0,51.0,0.0,0.0410003662109375
623,623,fri_c4_1000_10,1,2,active,ARFF,,,,0.0,11.0,1000.0,0.0,0.0,11.0,0.0,0.03400135040283203
624,624,fri_c0_100_5,1,2,active,ARFF,,,,0.0,6.0,100.0,0.0,0.0,6.0,0.0,0.03499794006347656
625,625,fri_c4_100_25,1,2,active,ARFF,,,,0.0,26.0,100.0,0.0,0.0,26.0,0.0,0.044002532958984375
626,626,fri_c2_500_50,1,2,active,ARFF,,,,0.0,51.0,500.0,0.0,0.0,51.0,0.0,0.04099845886230469
627,627,fri_c2_500_10,1,2,active,ARFF,,,,0.0,11.0,500.0,0.0,0.0,11.0,0.0,0.034999847412109375
628,628,fri_c3_1000_5,1,2,active,ARFF,,,,0.0,6.0,1000.0,0.0,0.0,6.0,0.0,0.033998966217041016
629,629,fri_c1_100_25,1,2,active,ARFF,,,,0.0,26.0,100.0,0.0,0.0,26.0,0.0,0.03603100776672363
630,630,fri_c2_100_50,1,2,active,ARFF,,,,0.0,51.0,100.0,0.0,0.0,51.0,0.0,0.03896951675415039
631,631,fri_c1_500_5,1,2,active,ARFF,,,,0.0,6.0,500.0,0.0,0.0,6.0,0.0,0.03300046920776367
632,632,fri_c3_250_50,1,2,active,ARFF,,,,0.0,51.0,250.0,0.0,0.0,51.0,0.0,0.04000043869018555
633,633,fri_c0_500_25,1,2,active,ARFF,,,,0.0,26.0,500.0,0.0,0.0,26.0,0.0,0.04700016975402832
634,634,fri_c2_100_10,1,2,active,ARFF,,,,0.0,11.0,100.0,0.0,0.0,11.0,0.0,0.03599810600280762
635,635,fri_c0_250_10,1,2,active,ARFF,,,,0.0,11.0,250.0,0.0,0.0,11.0,0.0,0.03300142288208008
636,636,fri_c1_100_50,1,2,active,ARFF,,,,0.0,51.0,100.0,0.0,0.0,51.0,0.0,0.03699970245361328
637,637,fri_c1_500_50,1,2,active,ARFF,,,,0.0,51.0,500.0,0.0,0.0,51.0,0.0,0.04000425338745117
638,638,fri_c2_250_50,1,2,active,ARFF,,,,0.0,51.0,250.0,0.0,0.0,51.0,0.0,0.03799557685852051
639,639,fri_c3_100_25,1,2,active,ARFF,,,,0.0,26.0,100.0,0.0,0.0,26.0,0.0,0.03600001335144043
640,640,fri_c4_100_10,1,2,active,ARFF,,,,0.0,11.0,100.0,0.0,0.0,11.0,0.0,0.03499913215637207
641,641,fri_c1_500_10,1,2,active,ARFF,,,,0.0,11.0,500.0,0.0,0.0,11.0,0.0,0.03300046920776367
642,642,fri_c4_100_50,1,2,active,ARFF,,,,0.0,51.0,100.0,0.0,0.0,51.0,0.0,0.037000179290771484
643,643,fri_c2_500_25,1,2,active,ARFF,,,,0.0,26.0,500.0,0.0,0.0,26.0,0.0,0.03699970245361328
644,644,fri_c4_250_25,1,2,active,ARFF,,,,0.0,26.0,250.0,0.0,0.0,26.0,0.0,0.03702974319458008
645,645,fri_c3_500_50,1,2,active,ARFF,,,,0.0,51.0,500.0,0.0,0.0,51.0,0.0,0.0389707088470459
646,646,fri_c3_500_10,1,2,active,ARFF,,,,0.0,11.0,500.0,0.0,0.0,11.0,0.0,0.035030364990234375
647,647,fri_c1_250_10,1,2,active,ARFF,,,,0.0,11.0,250.0,0.0,0.0,11.0,0.0,0.03396916389465332
648,648,fri_c1_250_50,1,2,active,ARFF,,,,0.0,51.0,250.0,0.0,0.0,51.0,0.0,0.037999629974365234
649,649,fri_c0_500_5,1,2,active,ARFF,,,,0.0,6.0,500.0,0.0,0.0,6.0,0.0,0.034000396728515625
650,650,fri_c0_500_50,1,2,active,ARFF,,,,0.0,51.0,500.0,0.0,0.0,51.0,0.0,0.03899979591369629
651,651,fri_c0_100_25,1,2,active,ARFF,,,,0.0,26.0,100.0,0.0,0.0,26.0,0.0,0.03699970245361328
652,652,fri_c4_100_100,1,2,active,ARFF,,,,0.0,101.0,100.0,0.0,0.0,101.0,0.0,0.041999101638793945
653,653,fri_c0_250_25,1,2,active,ARFF,,,,0.0,26.0,250.0,0.0,0.0,26.0,0.0,0.04500269889831543
654,654,fri_c0_500_10,1,2,active,ARFF,,,,0.0,11.0,500.0,0.0,0.0,11.0,0.0,0.034998416900634766
655,655,fri_c2_100_25,1,2,active,ARFF,,,,0.0,26.0,100.0,0.0,0.0,26.0,0.0,0.03802943229675293
656,656,fri_c1_100_5,1,2,active,ARFF,,,,0.0,6.0,100.0,0.0,0.0,6.0,0.0,0.036971092224121094
657,657,fri_c2_250_10,1,2,active,ARFF,,,,0.0,11.0,250.0,0.0,0.0,11.0,0.0,0.03499960899353027
658,658,fri_c3_250_25,1,2,active,ARFF,,,,0.0,26.0,250.0,0.0,0.0,26.0,0.0,0.03699946403503418
659,659,sleuth_ex1714,1,2,active,ARFF,,,,0.0,8.0,47.0,0.0,0.0,8.0,0.0,0.03402996063232422
660,660,rabe_265,1,2,active,ARFF,,,,0.0,7.0,51.0,0.0,0.0,7.0,0.0,0.03296971321105957
661,661,sleuth_case1102,1,2,active,ARFF,,3.0,,0.0,9.0,34.0,0.0,0.0,6.0,3.0,0.03503537178039551
663,663,rabe_266,1,2,active,ARFF,,,,0.0,3.0,120.0,0.0,0.0,3.0,0.0,0.03296470642089844
664,664,chscase_census6,1,2,active,ARFF,,,,0.0,7.0,400.0,0.0,0.0,7.0,0.0,0.034000396728515625
665,665,sleuth_case2002,1,2,active,ARFF,,2.0,,0.0,7.0,147.0,0.0,0.0,3.0,4.0,0.03499937057495117
666,666,rmftsa_ladata,1,2,active,ARFF,,,,0.0,11.0,508.0,0.0,0.0,11.0,0.0,0.03300046920776367
668,668,witmer_census_1980,1,2,active,ARFF,,,,0.0,6.0,50.0,0.0,0.0,5.0,1.0,0.03500008583068848
669,669,chscase_adopt,1,2,active,ARFF,,,,,,,,,,,0.06399989128112793
670,670,chscase_census5,1,2,active,ARFF,,,,0.0,8.0,400.0,0.0,0.0,8.0,0.0,0.03499960899353027
671,671,chscase_census4,1,2,active,ARFF,,,,0.0,8.0,400.0,0.0,0.0,8.0,0.0,0.03700113296508789
672,672,chscase_census3,1,2,active,ARFF,,,,0.0,8.0,400.0,0.0,0.0,8.0,0.0,0.03399825096130371
673,673,chscase_census2,1,2,active,ARFF,,,,0.0,8.0,400.0,0.0,0.0,8.0,0.0,0.03400087356567383
674,674,chscase_demand,1,2,active,ARFF,,,,0.0,11.0,27.0,0.0,0.0,11.0,0.0,0.03299975395202637
675,675,visualizing_slope,1,2,active,ARFF,,,,0.0,4.0,44.0,0.0,0.0,4.0,0.0,0.03400015830993652
676,676,disclosure_x_tampered,1,2,active,ARFF,,,,0.0,4.0,662.0,0.0,0.0,4.0,0.0,0.037000179290771484
678,678,visualizing_environmental,1,2,active,ARFF,,,,0.0,4.0,111.0,0.0,0.0,4.0,0.0,0.032999277114868164
679,679,rmftsa_sleepdata,1,2,active,ARFF,404.0,4.0,94.0,4.0,3.0,1024.0,0.0,0.0,2.0,1.0,0.03300046920776367
680,680,chscase_funds,1,2,active,ARFF,,,,,2.0,185.0,0.0,0.0,2.0,0.0,0.03699922561645508
681,681,hutsof99_logis,1,2,active,ARFF,,4.0,,0.0,8.0,70.0,0.0,0.0,4.0,4.0,0.03903460502624512
682,682,sleuth_ex2016,1,2,active,ARFF,51.0,2.0,36.0,2.0,11.0,87.0,0.0,0.0,9.0,2.0,0.035003662109375
683,683,sleuth_ex2015,1,2,active,ARFF,30.0,2.0,30.0,2.0,8.0,60.0,0.0,0.0,7.0,1.0,0.042962074279785156
684,684,rabe_166,1,2,active,ARFF,,,,0.0,3.0,40.0,0.0,0.0,3.0,0.0,0.03300070762634277
685,685,visualizing_livestock,1,2,active,ARFF,26.0,26.0,26.0,5.0,3.0,130.0,0.0,0.0,1.0,2.0,0.03399944305419922
686,686,rmftsa_ctoarrivals,1,2,active,ARFF,,12.0,,0.0,3.0,264.0,0.0,0.0,2.0,1.0,0.03302931785583496
687,687,sleuth_ex1605,1,2,active,ARFF,,,,0.0,6.0,62.0,0.0,0.0,6.0,0.0,0.03197002410888672
688,688,visualizing_soil,1,2,active,ARFF,,2.0,,0.0,5.0,8641.0,0.0,0.0,4.0,1.0,0.037999629974365234
689,689,chscase_vine2,1,2,active,ARFF,,,,0.0,3.0,468.0,0.0,0.0,3.0,0.0,0.03300142288208008
690,690,visualizing_galaxy,1,2,active,ARFF,,,,0.0,5.0,323.0,0.0,0.0,5.0,0.0,0.03399920463562012
691,691,chscase_vine1,1,2,active,ARFF,,,,0.0,10.0,52.0,0.0,0.0,10.0,0.0,0.03499937057495117
692,692,rabe_131,1,2,active,ARFF,,,,0.0,6.0,50.0,0.0,0.0,6.0,0.0,0.03200101852416992
693,693,diggle_table_a1,1,2,active,ARFF,,,,0.0,5.0,48.0,0.0,0.0,5.0,0.0,0.031999826431274414
694,694,diggle_table_a2,1,2,active,ARFF,41.0,9.0,18.0,9.0,9.0,310.0,0.0,0.0,8.0,1.0,0.03400015830993652
695,695,chatfield_4,1,2,active,ARFF,,,,0.0,13.0,235.0,0.0,0.0,13.0,0.0,0.03599905967712402
696,696,hutsof99_child_witness,1,2,active,ARFF,,,,0.0,17.0,42.0,0.0,0.0,17.0,0.0,0.03800058364868164
697,697,rabe_97,1,2,active,ARFF,,2.0,,0.0,5.0,46.0,0.0,0.0,4.0,1.0,0.033030033111572266
698,698,rabe_176,1,2,active,ARFF,,,,0.0,5.0,70.0,0.0,0.0,5.0,0.0,0.032968997955322266
699,699,disclosure_z,1,2,active,ARFF,,,,0.0,4.0,662.0,0.0,0.0,4.0,0.0,0.03500056266784668
700,700,chscase_whale,1,2,active,ARFF,,,,,,,,,,,0.08800268173217773
702,702,sleuth_ex1221,1,2,active,ARFF,,26.0,,0.0,11.0,42.0,0.0,0.0,9.0,2.0,0.03899788856506348
703,703,chscase_foot,1,2,active,ARFF,,297.0,,0.0,6.0,526.0,0.0,0.0,4.0,2.0,0.03799843788146973
704,704,disclosure_x_noise,1,2,active,ARFF,,,,0.0,4.0,662.0,0.0,0.0,4.0,0.0,0.036000967025756836
705,705,chscase_health,1,2,active,ARFF,,9.0,,,3.0,50.0,0.0,0.0,2.0,1.0,0.03499937057495117
706,706,sleuth_case1202,1,2,active,ARFF,,5.0,,0.0,7.0,93.0,0.0,0.0,5.0,2.0,0.03300023078918457
707,707,sleuth_case1201,1,2,active,ARFF,,,,0.0,8.0,50.0,0.0,0.0,7.0,1.0,0.03600001335144043
708,708,visualizing_hamster,1,2,active,ARFF,,,,0.0,6.0,73.0,0.0,0.0,6.0,0.0,0.03300023078918457
709,709,disclosure_x_bias,1,2,active,ARFF,,,,0.0,4.0,662.0,0.0,0.0,4.0,0.0,0.03599905967712402
710,710,rabe_148,1,2,active,ARFF,,,,0.0,6.0,66.0,0.0,0.0,6.0,0.0,0.03600025177001953
711,711,visualizing_ethanol,1,2,active,ARFF,,,,0.0,3.0,88.0,0.0,0.0,3.0,0.0,0.031000614166259766
712,712,chscase_geyser1,1,2,active,ARFF,,,,0.0,3.0,222.0,0.0,0.0,3.0,0.0,0.03299880027770996
713,713,vineyard,2,2,active,ARFF,28.0,2.0,24.0,2.0,4.0,52.0,0.0,0.0,3.0,1.0,0.033030033111572266
714,714,fruitfly,2,2,active,ARFF,76.0,3.0,49.0,2.0,5.0,125.0,0.0,0.0,2.0,3.0,0.033971309661865234
715,715,fri_c3_1000_25,2,2,active,ARFF,557.0,2.0,443.0,2.0,26.0,1000.0,0.0,0.0,25.0,1.0,0.03899979591369629
716,716,fri_c3_100_50,2,2,active,ARFF,62.0,2.0,38.0,2.0,51.0,100.0,0.0,0.0,50.0,1.0,0.03903341293334961
717,717,rmftsa_ladata,2,2,active,ARFF,286.0,2.0,222.0,2.0,11.0,508.0,0.0,0.0,10.0,1.0,0.03296661376953125
718,718,fri_c4_1000_100,2,2,active,ARFF,564.0,2.0,436.0,2.0,101.0,1000.0,0.0,0.0,100.0,1.0,0.04799938201904297
719,719,veteran,2,2,active,ARFF,94.0,4.0,43.0,2.0,8.0,137.0,0.0,0.0,3.0,5.0,0.03603553771972656
720,720,abalone,2,2,active,ARFF,2096.0,3.0,2081.0,2.0,9.0,4177.0,0.0,0.0,7.0,2.0,0.03696393966674805
721,721,pwLinear,2,2,active,ARFF,103.0,2.0,97.0,2.0,11.0,200.0,0.0,0.0,10.0,1.0,0.03399968147277832
722,722,pol,2,2,active,ARFF,9959.0,2.0,5041.0,2.0,49.0,15000.0,0.0,0.0,48.0,1.0,0.05182170867919922
723,723,fri_c4_1000_25,2,2,active,ARFF,547.0,2.0,453.0,2.0,26.0,1000.0,0.0,0.0,25.0,1.0,0.03896760940551758
724,724,analcatdata_vineyard,2,2,active,ARFF,260.0,9.0,208.0,2.0,4.0,468.0,0.0,0.0,2.0,2.0,0.033971309661865234
725,725,bank8FM,2,2,active,ARFF,4885.0,2.0,3307.0,2.0,9.0,8192.0,0.0,0.0,8.0,1.0,0.03999972343444824
726,726,fri_c2_100_5,2,2,active,ARFF,60.0,2.0,40.0,2.0,6.0,100.0,0.0,0.0,5.0,1.0,0.03300046920776367
727,727,2dplanes,2,2,active,ARFF,20420.0,2.0,20348.0,2.0,11.0,40768.0,0.0,0.0,10.0,1.0,0.045998573303222656
728,728,analcatdata_supreme,2,2,active,ARFF,3081.0,2.0,971.0,2.0,8.0,4052.0,0.0,0.0,7.0,1.0,0.03503751754760742
729,729,visualizing_slope,2,2,active,ARFF,27.0,2.0,17.0,2.0,4.0,44.0,0.0,0.0,3.0,1.0,0.03496193885803223
730,730,fri_c1_250_5,2,2,active,ARFF,131.0,2.0,119.0,2.0,6.0,250.0,0.0,0.0,5.0,1.0,0.03500080108642578
731,731,baskball,2,2,active,ARFF,49.0,2.0,47.0,2.0,5.0,96.0,0.0,0.0,4.0,1.0,0.03200030326843262
732,732,fri_c0_250_50,2,2,active,ARFF,133.0,2.0,117.0,2.0,51.0,250.0,0.0,0.0,50.0,1.0,0.03999972343444824
733,733,machine_cpu,2,2,active,ARFF,153.0,2.0,56.0,2.0,7.0,209.0,0.0,0.0,6.0,1.0,0.03500008583068848
734,734,ailerons,2,2,active,ARFF,7922.0,2.0,5828.0,2.0,41.0,13750.0,0.0,0.0,40.0,1.0,0.050005197525024414
735,735,cpu_small,3,2,active,ARFF,5715.0,2.0,2477.0,2.0,13.0,8192.0,0.0,0.0,12.0,1.0,0.037995100021362305
736,736,visualizing_environmental,2,2,active,ARFF,58.0,2.0,53.0,2.0,4.0,111.0,0.0,0.0,3.0,1.0,0.032000064849853516
737,737,space_ga,2,2,active,ARFF,1566.0,2.0,1541.0,2.0,7.0,3107.0,0.0,0.0,6.0,1.0,0.03699994087219238
738,738,pharynx,2,2,active,ARFF,121.0,6.0,74.0,2.0,12.0,195.0,2.0,2.0,1.0,11.0,0.0430300235748291
739,739,sleep,3,2,active,ARFF,33.0,2.0,29.0,2.0,8.0,62.0,7.0,8.0,7.0,1.0,0.03296852111816406
740,740,fri_c3_1000_10,2,2,active,ARFF,560.0,2.0,440.0,2.0,11.0,1000.0,0.0,0.0,10.0,1.0,0.03400135040283203
741,741,rmftsa_sleepdata,2,2,active,ARFF,515.0,4.0,509.0,2.0,3.0,1024.0,0.0,0.0,1.0,2.0,0.03399991989135742
742,742,fri_c4_500_100,2,2,active,ARFF,283.0,2.0,217.0,2.0,101.0,500.0,0.0,0.0,100.0,1.0,0.04599952697753906
743,743,fri_c1_1000_5,2,2,active,ARFF,543.0,2.0,457.0,2.0,6.0,1000.0,0.0,0.0,5.0,1.0,0.034999847412109375
744,744,fri_c3_250_5,2,2,active,ARFF,141.0,2.0,109.0,2.0,6.0,250.0,0.0,0.0,5.0,1.0,0.03603506088256836
745,745,auto_price,2,2,active,ARFF,105.0,6.0,54.0,2.0,16.0,159.0,0.0,0.0,14.0,2.0,0.038994789123535156
746,746,fri_c1_250_25,2,2,active,ARFF,143.0,2.0,107.0,2.0,26.0,250.0,0.0,0.0,25.0,1.0,0.039974212646484375
747,747,servo,1,2,active,ARFF,129.0,5.0,38.0,2.0,5.0,167.0,0.0,0.0,0.0,5.0,0.035863399505615234
748,748,analcatdata_wildcat,2,2,active,ARFF,116.0,2.0,47.0,2.0,6.0,163.0,0.0,0.0,3.0,3.0,0.0370028018951416
749,749,fri_c3_500_5,2,2,active,ARFF,263.0,2.0,237.0,2.0,6.0,500.0,0.0,0.0,5.0,1.0,0.034996986389160156
750,750,pm10,2,2,active,ARFF,254.0,2.0,246.0,2.0,8.0,500.0,0.0,0.0,7.0,1.0,0.06099987030029297
751,751,fri_c4_1000_10,2,2,active,ARFF,560.0,2.0,440.0,2.0,11.0,1000.0,0.0,0.0,10.0,1.0,0.035001516342163086
752,752,puma32H,2,2,active,ARFF,4128.0,2.0,4064.0,2.0,33.0,8192.0,0.0,0.0,32.0,1.0,0.043996334075927734
753,753,wisconsin,2,2,active,ARFF,104.0,2.0,90.0,2.0,33.0,194.0,0.0,0.0,32.0,1.0,0.03699994087219238
754,754,fri_c0_100_5,2,2,active,ARFF,54.0,2.0,46.0,2.0,6.0,100.0,0.0,0.0,5.0,1.0,0.03299999237060547
755,755,sleuth_ex1605,2,2,active,ARFF,31.0,2.0,31.0,2.0,6.0,62.0,0.0,0.0,5.0,1.0,0.032001495361328125
756,756,autoPrice,2,2,active,ARFF,105.0,2.0,54.0,2.0,16.0,159.0,0.0,0.0,15.0,1.0,0.035999298095703125
757,757,meta,2,2,active,ARFF,474.0,24.0,54.0,2.0,22.0,528.0,264.0,504.0,19.0,3.0,0.03800058364868164
758,758,analcatdata_election2000,2,2,active,ARFF,49.0,2.0,18.0,2.0,16.0,67.0,0.0,0.0,14.0,2.0,0.03900003433227539
759,759,analcatdata_olympic2000,2,2,active,ARFF,33.0,2.0,33.0,2.0,13.0,66.0,0.0,0.0,11.0,2.0,0.036998748779296875
760,760,analcatdata_uktrainacc,2,2,active,ARFF,27.0,2.0,4.0,2.0,17.0,31.0,25.0,150.0,16.0,1.0,0.03600263595581055
761,761,cpu_act,3,2,active,ARFF,5715.0,2.0,2477.0,2.0,22.0,8192.0,0.0,0.0,21.0,1.0,0.042999267578125
762,762,fri_c2_100_10,2,2,active,ARFF,55.0,2.0,45.0,2.0,11.0,100.0,0.0,0.0,10.0,1.0,0.03499960899353027
763,763,fri_c0_250_10,2,2,active,ARFF,125.0,2.0,125.0,2.0,11.0,250.0,0.0,0.0,10.0,1.0,0.03499960899353027
764,764,analcatdata_apnea3,2,2,active,ARFF,395.0,5.0,55.0,2.0,4.0,450.0,0.0,0.0,1.0,3.0,0.03299999237060547
765,765,analcatdata_apnea2,2,2,active,ARFF,411.0,5.0,64.0,2.0,4.0,475.0,0.0,0.0,1.0,3.0,0.033998966217041016
766,766,fri_c1_500_50,2,2,active,ARFF,262.0,2.0,238.0,2.0,51.0,500.0,0.0,0.0,50.0,1.0,0.038999319076538086
767,767,analcatdata_apnea1,2,2,active,ARFF,414.0,5.0,61.0,2.0,4.0,475.0,0.0,0.0,1.0,3.0,0.03399968147277832
768,768,fri_c3_100_25,2,2,active,ARFF,55.0,2.0,45.0,2.0,26.0,100.0,0.0,0.0,25.0,1.0,0.03600192070007324
769,769,fri_c1_250_50,2,2,active,ARFF,137.0,2.0,113.0,2.0,51.0,250.0,0.0,0.0,50.0,1.0,0.03900003433227539
770,770,strikes,2,2,active,ARFF,315.0,2.0,310.0,2.0,7.0,625.0,0.0,0.0,6.0,1.0,0.03299999237060547
771,771,analcatdata_michiganacc,2,2,active,ARFF,60.0,12.0,48.0,2.0,5.0,108.0,0.0,0.0,2.0,3.0,0.03500247001647949
772,772,quake,3,2,active,ARFF,1209.0,2.0,969.0,2.0,4.0,2178.0,0.0,0.0,3.0,1.0,0.03599715232849121
773,773,fri_c0_250_25,2,2,active,ARFF,126.0,2.0,124.0,2.0,26.0,250.0,0.0,0.0,25.0,1.0,0.03800082206726074
774,774,disclosure_x_bias,2,2,active,ARFF,345.0,2.0,317.0,2.0,4.0,662.0,0.0,0.0,3.0,1.0,0.03399920463562012
775,775,fri_c2_100_25,2,2,active,ARFF,57.0,2.0,43.0,2.0,26.0,100.0,0.0,0.0,25.0,1.0,0.03699851036071777
776,776,fri_c0_250_5,2,2,active,ARFF,125.0,2.0,125.0,2.0,6.0,250.0,0.0,0.0,5.0,1.0,0.03200197219848633
777,777,sleuth_ex1714,2,2,active,ARFF,27.0,2.0,20.0,2.0,8.0,47.0,0.0,0.0,7.0,1.0,0.03399777412414551
778,778,bodyfat,2,2,active,ARFF,128.0,2.0,124.0,2.0,15.0,252.0,0.0,0.0,14.0,1.0,0.03500175476074219
779,779,fri_c1_500_25,2,2,active,ARFF,267.0,2.0,233.0,2.0,26.0,500.0,0.0,0.0,25.0,1.0,0.03800034523010254
780,780,rabe_265,2,2,active,ARFF,30.0,2.0,21.0,2.0,7.0,51.0,0.0,0.0,6.0,1.0,0.03399968147277832
782,782,rabe_266,2,2,active,ARFF,63.0,2.0,57.0,2.0,3.0,120.0,0.0,0.0,2.0,1.0,0.031999826431274414
783,783,fri_c3_100_10,2,2,active,ARFF,60.0,2.0,40.0,2.0,11.0,100.0,0.0,0.0,10.0,1.0,0.03299999237060547
784,784,newton_hema,2,2,active,ARFF,70.0,11.0,70.0,2.0,4.0,140.0,0.0,0.0,2.0,2.0,0.03300023078918457
785,785,wind_correlations,2,2,active,ARFF,23.0,2.0,22.0,2.0,47.0,45.0,0.0,0.0,46.0,1.0,0.037999868392944336
786,786,cleveland,2,2,active,ARFF,164.0,4.0,139.0,2.0,14.0,303.0,6.0,6.0,6.0,8.0,0.03999757766723633
787,787,witmer_census_1980,2,2,active,ARFF,26.0,2.0,24.0,2.0,6.0,50.0,0.0,0.0,4.0,2.0,0.036002397537231445
788,788,triazines,2,2,active,ARFF,109.0,2.0,77.0,2.0,61.0,186.0,0.0,0.0,60.0,1.0,0.03899979591369629
789,789,fri_c1_100_10,2,2,active,ARFF,53.0,2.0,47.0,2.0,11.0,100.0,0.0,0.0,10.0,1.0,0.03599858283996582
790,790,elusage,2,2,active,ARFF,31.0,12.0,24.0,2.0,3.0,55.0,0.0,0.0,1.0,2.0,0.03200197219848633
791,791,diabetes_numeric,2,2,active,ARFF,26.0,2.0,17.0,2.0,3.0,43.0,0.0,0.0,2.0,1.0,0.03199887275695801
792,792,fri_c2_500_5,2,2,active,ARFF,298.0,2.0,202.0,2.0,6.0,500.0,0.0,0.0,5.0,1.0,0.03400015830993652
793,793,fri_c3_250_10,2,2,active,ARFF,135.0,2.0,115.0,2.0,11.0,250.0,0.0,0.0,10.0,1.0,0.03500032424926758
794,794,fri_c2_250_25,2,2,active,ARFF,139.0,2.0,111.0,2.0,26.0,250.0,0.0,0.0,25.0,1.0,0.03799891471862793
795,795,disclosure_x_tampered,2,2,active,ARFF,335.0,2.0,327.0,2.0,4.0,662.0,0.0,0.0,3.0,1.0,0.03300118446350098
796,796,cpu,2,2,active,ARFF,156.0,30.0,53.0,2.0,8.0,209.0,0.0,0.0,6.0,2.0,0.03499960899353027
