,did,name,version,uploader,status,format,MajorityClassSize,MaxNominalAttDistinctValues,MinorityClassSize,NumberOfClasses,NumberOfFeatures,NumberOfInstances,NumberOfInstancesWithMissingValues,NumberOfMissingValues,NumberOfNumericFeatures,NumberOfSymbolicFeatures,first_time,first_time_1,OUT
886,886,no2,2,2,active,ARFF,251,2,249,2,8,500,0,0,7,1,0.193665743,0.034000158,FALSE
887,887,mbagrade,2,2,active,ARFF,32,2,29,2,3,61,0,0,1,2,0.183933496,0.033998251,FALSE
888,888,fri_c0_500_50,2,2,active,ARFF,256,2,244,2,51,500,0,0,50,1,0.232978821,0.040001631,FALSE
889,889,fri_c0_100_25,2,2,active,ARFF,50,2,50,2,26,100,0,0,25,1,0.186990023,0.03600049,FALSE
890,890,cloud,2,2,active,ARFF,76,2,32,2,8,108,0,0,6,2,0.190992117,0.035000086,FALSE
891,891,sleuth_case1202,2,2,active,ARFF,57,5,36,2,7,93,0,0,4,3,0.184775352,0.033998013,FALSE
892,892,sleuth_case1201,2,2,active,ARFF,26,2,24,2,8,50,0,0,6,2,0.198263168,0.036002398,FALSE
893,893,visualizing_hamster,2,2,active,ARFF,40,2,33,2,6,73,0,0,5,1,0.175773621,0.032999516,FALSE
894,894,rabe_148,2,2,active,ARFF,33,2,33,2,6,66,0,0,5,1,0.186992645,0.031999588,FALSE
895,895,chscase_geyser1,2,2,active,ARFF,134,2,88,2,3,222,0,0,2,1,0.177018642,0.031000137,FALSE
896,896,fri_c3_500_25,2,2,active,ARFF,280,2,220,2,26,500,0,0,25,1,0.206988573,0.038002491,FALSE
897,897,colleges_aaup,2,2,active,ARFF,813,52,348,2,17,1161,87,256,13,4,0.252480984,0.046998501,FALSE
898,898,hip,2,2,active,ARFF,28,2,26,2,8,54,30,120,7,1,0.188988447,0.035999537,FALSE
899,899,analcatdata_negotiation,2,2,active,ARFF,66,2,26,2,6,92,17,26,4,2,0.185985804,0.034997463,FALSE
900,900,chscase_census6,2,2,active,ARFF,235,2,165,2,7,400,0,0,6,1,0.19751811,0.032999754,FALSE
901,901,fried,2,2,active,ARFF,20427,2,20341,2,11,40768,0,0,10,1,0.995126009,0.045000076,FALSE
902,902,sleuth_case2002,2,2,active,ARFF,78,2,69,2,7,147,0,0,2,5,0.206714392,0.036000252,FALSE
903,903,fri_c2_1000_25,2,2,active,ARFF,563,2,437,2,26,1000,0,0,25,1,0.264019251,0.03800106,FALSE
904,904,fri_c0_1000_50,2,2,active,ARFF,510,2,490,2,51,1000,0,0,50,1,0.298351049,0.043000698,FALSE
905,905,chscase_adopt,2,2,active,ARFF,27,2,12,2,4,39,0,0,2,2,0.199961185,0.033998728,FALSE
906,906,chscase_census5,2,2,active,ARFF,207,2,193,2,8,400,0,0,7,1,0.189986944,0.034000874,FALSE
907,907,chscase_census4,2,2,active,ARFF,206,2,194,2,8,400,0,0,7,1,0.189158916,0.034999847,FALSE
908,908,chscase_census3,2,2,active,ARFF,208,2,192,2,8,400,0,0,7,1,0.174095392,0.033998728,FALSE
909,909,chscase_census2,2,2,active,ARFF,203,2,197,2,8,400,0,0,7,1,0.186962843,0.034000874,FALSE
910,910,fri_c1_1000_10,2,2,active,ARFF,564,2,436,2,11,1000,0,0,10,1,0.203268528,0.034000397,FALSE
911,911,fri_c2_250_5,2,2,active,ARFF,140,2,110,2,6,250,0,0,5,1,0.176676512,0.034999847,FALSE
912,912,fri_c2_1000_5,2,2,active,ARFF,584,2,416,2,6,1000,0,0,5,1,0.187295437,0.034999847,FALSE
913,913,fri_c2_1000_10,2,2,active,ARFF,580,2,420,2,11,1000,0,0,10,1,0.212005854,0.034999847,FALSE
914,914,balloon,2,2,active,ARFF,1519,2,482,2,3,2001,0,0,2,1,0.190978527,0.03399992,FALSE
915,915,plasma_retinol,2,2,active,ARFF,182,3,133,2,14,315,0,0,10,4,0.21528244,0.037998199,FALSE
916,916,fri_c3_100_5,2,2,active,ARFF,56,2,44,2,6,100,0,0,5,1,0.187954664,0.034999847,FALSE
917,917,fri_c1_1000_25,2,2,active,ARFF,546,2,454,2,26,1000,0,0,25,1,0.228133202,0.039002419,FALSE
918,918,fri_c4_250_50,2,2,active,ARFF,135,2,115,2,51,250,0,0,50,1,0.208768368,0.038999557,FALSE
919,919,rabe_166,2,2,active,ARFF,21,2,19,2,3,40,0,0,2,1,0.191966295,0.031999826,FALSE
920,920,fri_c2_500_50,2,2,active,ARFF,295,2,205,2,51,500,0,0,50,1,0.2429533,0.040999174,FALSE
921,921,analcatdata_seropositive,2,2,active,ARFF,86,3,46,2,4,132,0,0,2,2,0.189019442,0.034001112,FALSE
922,922,fri_c2_100_50,2,2,active,ARFF,58,2,42,2,51,100,0,0,50,1,0.260201931,0.037999868,FALSE
923,923,visualizing_soil,2,2,active,ARFF,4753,2,3888,2,5,8641,0,0,3,2,0.258016348,0.03399992,FALSE
924,924,humandevel,2,2,active,ARFF,65,2,65,2,4,130,0,0,2,2,0.187022686,0.037000895,FALSE
925,925,visualizing_galaxy,2,2,active,ARFF,175,2,148,2,5,323,0,0,4,1,0.176886797,0.032997608,FALSE
926,926,fri_c0_500_25,2,2,active,ARFF,255,2,245,2,26,500,0,0,25,1,0.202947617,0.038999557,FALSE
927,927,hutsof99_child_witness,2,2,active,ARFF,25,2,17,2,17,42,0,0,16,1,0.182997704,0.035000801,FALSE
928,928,rabe_97,2,2,active,ARFF,25,2,21,2,5,46,0,0,3,2,0.208982229,0.034001112,FALSE
929,929,rabe_176,2,2,active,ARFF,35,2,35,2,5,70,0,0,4,1,0.193990946,0.033999681,FALSE
930,930,colleges_usnews,2,2,active,ARFF,688,51,614,2,35,1302,1144,7830,32,3,0.267163515,0.048998594,FALSE
931,931,disclosure_z,2,2,active,ARFF,348,2,314,2,4,662,0,0,3,1,0.183254004,0.037999392,FALSE
932,932,fri_c4_100_50,2,2,active,ARFF,56,2,44,2,51,100,0,0,50,1,0.193927526,0.038002253,FALSE
933,933,fri_c4_250_25,2,2,active,ARFF,136,2,114,2,26,250,0,0,25,1,0.185281277,0.039999723,FALSE
934,934,socmob,2,2,active,ARFF,900,17,256,2,6,1156,0,0,1,5,0.212999582,0.037999868,FALSE
935,935,fri_c1_250_10,2,2,active,ARFF,140,2,110,2,11,250,0,0,10,1,0.23098278,0.036000729,FALSE
936,936,fri_c3_500_10,2,2,active,ARFF,272,2,228,2,11,500,0,0,10,1,0.255983829,0.034999132,FALSE
937,937,fri_c3_500_50,2,2,active,ARFF,282,2,218,2,51,500,0,0,50,1,0.279354811,0.038998127,FALSE
938,938,sleuth_ex1221,2,2,active,ARFF,23,26,19,2,11,42,0,0,8,3,0.187916994,0.038000107,FALSE
939,939,chscase_whale,2,2,active,ARFF,117,2,111,2,10,228,5,20,9,1,0.181042671,0.037002087,FALSE
940,940,water-treatment,2,2,active,ARFF,447,414,80,2,39,527,146,560,21,18,0.306123018,0.073514223,FALSE
941,941,lowbwt,2,2,active,ARFF,99,6,90,2,10,189,0,0,2,8,0.211955547,0.039002419,FALSE
942,942,chscase_health,2,2,active,ARFF,26,9,24,2,5,50,0,0,2,3,0.184014559,0.036031008,FALSE
943,943,fri_c0_500_10,2,2,active,ARFF,259,2,241,2,11,500,0,0,10,1,0.191966534,0.035969019,FALSE
944,944,echoMonths,2,2,active,ARFF,66,2,64,2,10,130,69,97,6,4,0.184015512,0.037994623,FALSE
945,945,kidney,2,2,active,ARFF,40,4,36,2,7,76,0,0,3,4,0.192156076,0.038036823,FALSE
946,946,visualizing_ethanol,2,2,active,ARFF,45,2,43,2,3,88,0,0,2,1,0.175743818,0.037993431,FALSE
947,947,arsenic-male-bladder,2,2,active,ARFF,535,43,24,2,5,559,0,0,3,2,0.191336393,0.037973404,FALSE
949,949,arsenic-female-bladder,2,2,active,ARFF,479,43,80,2,5,559,0,0,3,2,0.182990074,0.036999941,FALSE
950,950,arsenic-female-lung,2,2,active,ARFF,540,43,19,2,5,559,0,0,3,2,0.206990719,0.039997339,FALSE
951,951,arsenic-male-lung,2,2,active,ARFF,546,43,13,2,5,559,0,0,3,2,0.18899107,0.03400135,FALSE
952,952,prnn_fglass,1,2,active,ARFF,76,6,9,6,10,214,0,0,9,1,0.201126099,0.036003113,FALSE
953,953,splice,2,2,active,ARFF,1655,6,1535,2,62,3190,0,0,0,62,0.634266376,0.09202981,FALSE
954,954,spectrometer,2,2,active,ARFF,476,4,55,2,103,531,0,0,100,3,0.312505722,0.051999807,FALSE
955,955,tae,2,2,active,ARFF,99,2,52,2,6,151,0,0,3,3,0.194988728,0.034999609,FALSE
956,956,molecular-biology_promoters,2,2,active,ARFF,72,4,34,2,59,106,0,0,0,59,0.293332577,0.066000462,FALSE
957,957,braziltourism,2,2,active,ARFF,318,7,94,2,9,412,49,96,4,5,0.24795413,0.038324594,FALSE
958,958,segment,2,2,active,ARFF,1980,2,330,2,20,2310,0,0,19,1,0.268573523,0.041078806,FALSE
959,959,nursery,2,2,active,ARFF,8640,5,4320,2,9,12960,0,0,0,9,0.417982578,0.04433012,FALSE
960,960,postoperative-patient-data,2,2,active,ARFF,64,4,26,2,9,90,3,3,0,9,0.192993402,0.04096961,FALSE
961,961,analcatdata_broadwaymult,2,2,active,ARFF,167,95,118,2,8,285,18,27,3,5,0.190954685,0.041518688,FALSE
962,962,mfeat-morphological,2,2,active,ARFF,1800,2,200,2,7,2000,0,0,6,1,0.225052118,0.034964323,FALSE
963,963,heart-h,2,2,active,ARFF,188,4,106,2,14,294,293,782,6,8,0.212862015,0.049000502,FALSE
964,964,pasture,2,2,active,ARFF,24,4,12,2,23,36,0,0,21,2,0.181381941,0.037000895,FALSE
965,965,zoo,2,2,active,ARFF,60,2,41,2,18,101,0,0,1,17,0.222601891,0.043999434,FALSE
966,966,analcatdata_halloffame,2,2,active,ARFF,1215,7,125,2,18,1340,20,20,15,3,0.240372181,0.047000408,FALSE
967,967,cars,2,2,active,ARFF,254,312,152,2,9,406,14,14,6,3,0.214022875,0.039000273,FALSE
968,968,analcatdata_birthday,2,2,active,ARFF,312,31,53,2,4,365,30,30,1,3,0.191975594,0.034998894,FALSE
969,969,iris,3,2,active,ARFF,100,2,50,2,5,150,0,0,4,1,0.195294142,0.03500247,FALSE
970,970,analcatdata_authorship,2,2,active,ARFF,524,2,317,2,71,841,0,0,70,1,0.264271259,0.041997433,FALSE
971,971,mfeat-fourier,2,2,active,ARFF,1800,2,200,2,77,2000,0,0,76,1,0.44189024,0.055000782,FALSE
972,972,squash-stored,2,2,active,ARFF,29,22,23,2,25,52,2,7,21,4,0.202018738,0.037998676,FALSE
973,973,wine,2,2,active,ARFF,107,2,71,2,14,178,0,0,13,1,0.179996252,0.034000635,FALSE
974,974,hayes-roth,2,2,active,ARFF,81,2,51,2,5,132,0,0,4,1,0.180983543,0.031001091,FALSE
975,975,autos,2,2,active,ARFF,138,22,67,2,26,205,46,59,15,11,0.190967798,0.041999578,FALSE
976,976,JapaneseVowels,2,2,active,ARFF,8347,2,1614,2,15,9961,0,0,14,1,0.449971437,0.041999102,FALSE
977,977,letter,2,2,active,ARFF,19187,2,813,2,17,20000,0,0,16,1,0.556639671,0.045999765,FALSE
978,978,mfeat-factors,2,2,active,ARFF,1800,2,200,2,217,2000,0,0,216,1,0.801337719,0.06499958,FALSE
979,979,waveform-5000,2,2,active,ARFF,3308,2,1692,2,41,5000,0,0,40,1,0.541180611,0.044002295,FALSE
980,980,optdigits,2,2,active,ARFF,5048,2,572,2,65,5620,0,0,64,1,0.490976095,0.050003529,FALSE
981,981,kdd_internet_usage,1,2,active,ARFF,7393,129,2715,2,69,10108,2699,2699,0,69,1.206627369,0.075993776,FALSE
982,982,heart-c,2,2,active,ARFF,165,4,138,2,14,303,7,7,6,8,0.198437452,0.0410676,FALSE
983,983,cmc,2,2,active,ARFF,844,4,629,2,10,1473,0,0,2,8,0.221198082,0.038869381,FALSE
984,984,analcatdata_draft,2,2,active,ARFF,334,12,32,2,6,366,1,1,3,3,0.187556744,0.038677454,FALSE
985,985,squash-unstored,2,2,active,ARFF,28,22,24,2,24,52,9,39,20,4,0.185861826,0.039891005,FALSE
986,986,analcatdata_marketing,2,2,active,ARFF,249,5,115,2,33,364,36,80,0,33,0.226075649,0.053427696,FALSE
987,987,collins,2,2,active,ARFF,420,15,80,2,24,500,0,0,20,4,0.236986876,0.04488349,FALSE
988,988,fl2000,2,2,active,ARFF,41,2,26,2,16,67,0,0,14,2,0.209988594,0.03740716,FALSE
989,989,anneal,3,2,active,ARFF,684,7,214,2,39,898,898,22175,6,33,0.26898551,0.052000046,FALSE
990,990,eucalyptus,2,2,active,ARFF,522,27,214,2,20,736,95,448,14,6,0.22802496,0.039000273,FALSE
991,991,car,2,2,active,ARFF,1210,4,518,2,7,1728,0,0,0,7,0.237951279,0.036999226,FALSE
992,992,analcatdata_broadway,2,2,active,ARFF,68,7,27,2,10,95,6,9,3,7,0.243987799,0.042000055,FALSE
993,993,kdd_ipums_la_97-small,1,2,active,ARFF,4425,191,2594,2,61,7019,7019,43814,33,28,0.81799221,0.06200242,FALSE
994,994,vehicle,2,2,active,ARFF,628,2,218,2,19,846,0,0,18,1,0.221886396,0.036997318,FALSE
995,995,mfeat-zernike,2,2,active,ARFF,1800,2,200,2,48,2000,0,0,47,1,0.377662897,0.042000771,FALSE
996,996,prnn_fglass,2,2,active,ARFF,138,2,76,2,10,214,0,0,9,1,0.218952179,0.034999847,FALSE
997,997,balance-scale,2,2,active,ARFF,337,2,288,2,5,625,0,0,4,1,0.184989929,0.034970045,FALSE
998,998,analcatdata_bondrate,2,2,active,ARFF,33,10,24,2,12,57,1,1,4,8,0.199992657,0.043036461,FALSE
999,999,audiology,2,2,active,ARFF,169,6,57,2,70,226,222,317,0,70,0.265983343,0.069997549,FALSE
1000,1000,hypothyroid,2,2,active,ARFF,3481,5,291,2,30,3772,3772,6064,7,23,0.43299222,0.048995256,FALSE
1001,1001,sponge,2,2,active,ARFF,70,9,6,2,46,76,22,22,0,46,0.231581688,0.061969995,FALSE
1002,1002,ipums_la_98-small,2,2,active,ARFF,6694,15,791,2,56,7485,7369,32427,16,40,0.788885117,0.062524319,FALSE
1003,1003,primary-tumor,2,2,active,ARFF,255,3,84,2,18,339,207,225,0,18,0.212506056,0.04410696,FALSE
1004,1004,synthetic_control,2,2,active,ARFF,500,2,100,2,62,600,0,0,60,2,0.334662199,0.044998884,FALSE
1005,1005,glass,2,2,active,ARFF,138,2,76,2,10,214,0,0,9,1,0.17695117,0.034999609,FALSE
1006,1006,lymph,2,2,active,ARFF,81,8,67,2,19,148,0,0,3,16,0.208991528,0.044001818,FALSE
1007,1007,bridges,5,2,active,ARFF,63,54,44,2,13,107,37,71,3,10,0.186994791,0.041999578,FALSE
1008,1008,analcatdata_reviewer,2,2,active,ARFF,216,3,163,2,9,379,367,1368,0,9,0.203987122,0.044000864,FALSE
1009,1009,white-clover,2,2,active,ARFF,38,7,25,2,32,63,0,0,27,5,0.218091965,0.036999226,FALSE
1010,1010,dermatology,2,2,active,ARFF,254,4,112,2,35,366,8,8,1,34,0.252037287,0.051999569,FALSE
1011,1011,ecoli,2,2,active,ARFF,193,2,143,2,8,336,0,0,7,1,0.185796022,0.034000397,FALSE
1012,1012,flags,2,2,active,ARFF,125,14,69,2,30,194,0,0,2,28,0.230130196,0.050998211,FALSE
1013,1013,analcatdata_challenger,2,2,active,ARFF,129,3,9,2,3,138,0,0,1,2,0.19687748,0.03400135,FALSE
1014,1014,analcatdata_dmft,2,2,active,ARFF,642,9,155,2,5,797,0,0,0,5,0.216032267,0.035998583,FALSE
1015,1015,confidence,2,2,active,ARFF,60,2,12,2,4,72,0,0,3,1,0.189952374,0.034001112,FALSE
1016,1016,vowel,3,2,active,ARFF,900,15,90,2,14,990,0,0,10,4,0.200995922,0.036998987,FALSE
1017,1017,arrhythmia,2,2,active,ARFF,245,2,207,2,280,452,384,408,206,74,0.431736469,0.089002132,FALSE
1018,1018,ipums_la_99-small,2,2,active,ARFF,8276,17,568,2,57,8844,8844,34843,15,42,0.976387978,0.065956831,FALSE
1019,1019,pendigits,2,2,active,ARFF,9848,2,1144,2,17,10992,0,0,16,1,0.443071604,0.043024302,FALSE
1020,1020,mfeat-karhunen,2,2,active,ARFF,1800,2,200,2,65,2000,0,0,64,1,0.437698841,0.049964905,FALSE
1021,1021,page-blocks,2,2,active,ARFF,4913,2,560,2,11,5473,0,0,10,1,0.280987024,0.046999216,FALSE
1022,1022,mfeat-pixel,2,2,active,ARFF,1800,7,200,2,241,2000,0,0,0,241,1.050950289,0.162036419,FALSE
1023,1023,soybean,2,2,active,ARFF,591,7,92,2,36,683,121,2337,0,36,0.260039806,0.056998968,FALSE
1025,1025,analcatdata_germangss,2,2,active,ARFF,310,5,90,2,6,400,0,0,0,6,0.191943169,0.038238764,FALSE
1026,1026,grub-damage,2,2,active,ARFF,106,21,49,2,9,155,0,0,2,7,0.204975367,0.038997889,FALSE
1027,1027,ESL,1,2,active,ARFF,,,,0,5,488,0,0,5,0,0.209992886,0.03599,FALSE
1028,1028,SWD,1,2,active,ARFF,,,,0,11,1000,0,0,11,0,0.20811224,0.035970449,FALSE
1029,1029,LEV,1,2,active,ARFF,,,,0,5,1000,0,0,5,0,0.198073864,0.032999516,FALSE
1030,1030,ERA,1,2,active,ARFF,,,,0,5,1000,0,0,5,0,0.178803682,0.034000874,FALSE
1035,1035,ESL,2,2,active,ARFF,,,,0,5,488,0,0,5,0,0.195128679,0.032000303,FALSE
1037,1037,ada_prior,1,2,active,ARFF,3430,39,1132,2,15,4562,88,88,6,9,0.3370049,0.062999725,FALSE
1038,1038,gina_agnostic,1,2,active,ARFF,1763,2,1705,2,971,3468,0,0,970,1,3.978656054,0.179038286,FALSE
1039,1039,hiva_agnostic,1,2,active,ARFF,4080,2,149,2,1618,4229,0,0,1617,1,6.465739489,0.273958921,FALSE
1040,1040,sylva_prior,1,2,active,ARFF,13509,2,886,2,109,14395,0,0,108,1,1.74076128,0.078412533,FALSE
1041,1041,gina_prior2,1,2,active,ARFF,383,10,315,10,785,3468,0,0,784,1,2.910033703,0.151125431,FALSE
1042,1042,gina_prior,1,2,active,ARFF,1763,2,1705,2,785,3468,0,0,784,1,2.903756857,0.153546333,FALSE
1044,1044,eye_movements,1,2,active,ARFF,4262,3,2870,3,28,10936,0,0,24,4,0.63915658,0.049962997,FALSE
1045,1045,kc1-top5,1,2,active,ARFF,137,2,8,2,95,145,0,0,94,1,0.236029148,0.046181917,FALSE
1046,1046,mozilla4,1,2,active,ARFF,10437,2,5108,2,6,15545,0,0,5,1,0.351501942,0.046714067,FALSE
1047,1047,usp05,1,2,active,ARFF,112,112,1,11,17,203,0,0,3,14,0.230190754,0.046996593,FALSE
1048,1048,jEdit_4.2_4.3,1,2,active,ARFF,204,2,165,2,9,369,0,0,8,1,0.180995464,0.037000656,FALSE
1049,1049,pc4,1,2,active,ARFF,1280,2,178,2,38,1458,0,0,37,1,0.245454073,0.041995525,FALSE
1050,1050,pc3,1,2,active,ARFF,1403,2,160,2,38,1563,0,0,37,1,0.23902154,0.042999983,FALSE
1051,1051,cocomo_numeric,1,2,active,ARFF,,5,,0,17,60,0,0,2,15,0.204996109,0.043998957,FALSE
1053,1053,jm1,1,2,active,ARFF,8779,2,2106,2,22,10885,5,25,21,1,0.485348225,0.053001642,FALSE
1054,1054,mc2,1,2,active,ARFF,109,2,52,2,40,161,0,0,39,1,0.202649117,0.03699851,FALSE
1055,1055,cm1_req,1,2,active,ARFF,69,3,20,2,9,89,0,0,7,2,0.176730394,0.03399992,FALSE
1056,1056,mc1,1,2,active,ARFF,9398,2,68,2,39,9466,0,0,38,1,0.533775568,0.050007105,FALSE
1058,1058,humans_numeric,1,2,active,ARFF,,,,0,15,75,0,0,15,0,0.181811571,0.037993193,FALSE
1059,1059,ar1,1,2,active,ARFF,112,2,9,2,30,121,0,0,29,1,0.181046009,0.034999609,FALSE
1060,1060,ar3,1,2,active,ARFF,55,2,8,2,30,63,0,0,29,1,0.181431055,0.037000179,FALSE
1061,1061,ar4,1,2,active,ARFF,87,2,20,2,30,107,0,0,29,1,0.182066917,0.037000656,FALSE
1062,1062,ar5,1,2,active,ARFF,28,2,8,2,30,36,0,0,29,1,0.180028677,0.036999941,FALSE
1063,1063,kc2,1,2,active,ARFF,415,2,107,2,22,522,0,0,21,1,0.212059259,0.038000107,FALSE
1064,1064,ar6,1,2,active,ARFF,86,2,15,2,30,101,0,0,29,1,0.187017441,0.037999153,FALSE
1065,1065,kc3,1,2,active,ARFF,415,2,43,2,40,458,0,0,39,1,0.226974726,0.038000107,FALSE
1066,1066,kc1-binary,1,2,active,ARFF,85,2,60,2,95,145,0,0,94,1,0.2479949,0.049007893,FALSE
1067,1067,kc1,1,2,active,ARFF,1783,2,326,2,22,2109,0,0,21,1,0.242273331,0.039993525,FALSE
1068,1068,pc1,1,2,active,ARFF,1032,2,77,2,22,1109,0,0,21,1,0.221004963,0.04199791,FALSE
1069,1069,pc2,1,2,active,ARFF,5566,2,23,2,37,5589,0,0,36,1,0.347115755,0.046975374,FALSE
1070,1070,kc1-numeric,1,2,active,ARFF,,,,0,95,145,0,0,95,0,0.220011473,0.043025255,FALSE
1071,1071,mw1,1,2,active,ARFF,372,2,31,2,38,403,0,0,37,1,0.22197628,0.038000107,FALSE
1072,1072,qqdefects_numeric,1,2,active,ARFF,,5,,0,31,31,29,33,3,28,0.201297283,0.047004223,FALSE
1073,1073,jEdit_4.0_4.2,1,2,active,ARFF,140,2,134,2,9,274,0,0,8,1,0.182993889,0.034994841,FALSE
1075,1075,datatrieve,1,2,active,ARFF,119,2,11,2,9,130,0,0,8,1,0.218997002,0.036000013,FALSE
1076,1076,nasa_numeric,1,2,active,ARFF,,14,,0,24,93,0,0,4,20,0.201603889,0.045999289,FALSE
1077,1077,rsctc2010_1,1,2,active,ARFF,58,3,7,3,22284,105,0,0,22283,1,8.334545135,1.173005819,FALSE
1078,1078,rsctc2010_2,1,2,active,ARFF,58,3,7,3,22284,105,0,0,22283,1,7.511255264,1.185998678,FALSE
1079,1079,rsctc2010_3,1,2,active,ARFF,27,5,5,5,22278,95,0,0,22277,1,6.912848711,1.160998583,FALSE
1080,1080,rsctc2010_4,1,2,active,ARFF,51,5,10,5,54676,113,0,0,54675,1,18.82786703,2.803017855,FALSE
1081,1081,rsctc2010_5,1,2,active,ARFF,43,4,10,4,54614,89,0,0,54613,1,17.31862473,2.724001884,FALSE
1082,1082,rsctc2010_6,1,2,active,ARFF,53,5,7,5,59005,92,0,0,59004,1,18.72665429,2.98799181,FALSE
1083,1083,mouseType,1,2,active,ARFF,69,7,13,7,45102,214,0,0,45101,1,23.08368301,2.389997721,FALSE
1084,1084,BurkittLymphoma,1,2,active,ARFF,128,3,44,3,22284,220,0,0,22283,1,11.83174467,1.232998848,FALSE
1085,1085,anthracyclineTaxaneChemotherapy,1,2,active,ARFF,95,2,64,2,61360,159,0,0,61359,1,26.2164259,3.186995983,FALSE
1086,1086,ovarianTumour,1,2,active,ARFF,245,3,18,3,54622,283,0,0,54621,1,34.81724238,3.427951097,FALSE
1087,1087,hepatitisC,1,2,active,ARFF,245,3,18,3,54622,283,0,0,54621,1,34.15931916,3.402371883,FALSE
1088,1088,variousCancers_final,1,2,active,ARFF,155,9,16,9,54676,383,0,0,54675,1,44.79402733,3.663118124,FALSE
1089,1089,USCrime,1,2,active,ARFF,,,,0,14,47,0,0,14,0,0.217997313,0.055002689,FALSE
1090,1090,MercuryinBass,1,2,active,ARFF,,,,0,12,53,0,0,11,1,0.205996513,0.039110422,FALSE
1091,1091,SMSA,1,2,active,ARFF,,,,0,17,59,0,0,16,1,0.206995249,0.040003538,FALSE
1092,1092,Crash,1,2,active,ARFF,,,,,,,,,,,0.223994493,0.086964607,FALSE
1093,1093,Brainsize,1,2,active,ARFF,,2,,0,7,40,2,3,6,1,0.19499898,0.035161018,FALSE
1094,1094,Acorns,1,2,active,ARFF,,2,,0,5,39,0,0,3,2,0.202990294,0.038827658,FALSE
1096,1096,FacultySalaries,1,2,active,ARFF,,,,0,6,50,0,0,5,1,0.196995974,0.037734747,FALSE
1097,1097,ICU,1,2,active,ARFF,,,,0,21,200,0,0,21,0,0.197998524,0.037994862,FALSE
1098,1098,pubexpendat,1,2,active,ARFF,,,,0,8,48,0,0,7,1,0.182995081,0.03399992,FALSE
1099,1099,EgyptianSkulls,1,2,active,ARFF,,,,0,5,150,0,0,5,0,0.180990458,0.031999588,FALSE
1100,1100,PopularKids,1,2,active,ARFF,247,9,90,3,11,478,0,0,6,5,0.20199585,0.036970615,FALSE
1101,1101,lymphoma_2classes,1,2,active,ARFF,23,2,22,2,4027,45,38,5948,4026,1,1.052982569,0.226036072,FALSE
1102,1102,lymphoma_9classes,1,2,active,ARFF,46,9,2,9,4027,96,89,19667,4026,1,1.341967821,0.227996588,FALSE
1103,1103,yeast_gene,1,2,active,ARFF,,,,0,2884,17,0,0,2884,0,0.679988384,0.169058084,FALSE
1104,1104,leukemia,1,2,active,ARFF,47,2,25,2,7130,72,0,0,7129,1,1.977958202,0.398967028,FALSE
1106,1106,GCM,1,2,active,ARFF,30,14,10,14,16064,190,0,0,16063,1,6.851842165,0.832030296,FALSE
1107,1107,tumors_C,1,2,active,ARFF,39,2,21,2,7130,60,0,0,7129,1,1.958964348,0.375980616,FALSE
1109,1109,lymphoma_11classes,1,2,active,ARFF,23,11,1,11,4027,96,89,19667,4026,1,1.314966202,0.254018307,FALSE
1110,1110,KDDCup99_full,1,2,active,ARFF,2807886,70,2,23,42,4898431,0,0,34,8,182.1739967,3.23460412,FALSE
1111,1111,KDDCup09_appetency,1,2,active,ARFF,49110,15415,890,2,231,50000,50000,8024152,192,39,23.31952143,0.726724625,FALSE
1112,1112,KDDCup09_churn,1,2,active,ARFF,46328,15415,3672,2,231,50000,50000,8024152,192,39,22.72030401,0.715560198,FALSE
1113,1113,KDDCup99,1,2,active,ARFF,280790,66,2,23,42,494020,0,0,34,8,17.59294534,0.365435839,FALSE
1114,1114,KDDCup09_upselling,1,2,active,ARFF,46318,15415,3682,2,231,50000,50000,8024152,192,39,23.03006244,0.833547115,FALSE
1115,1115,teachingAssistant,1,2,active,ARFF,52,26,49,3,7,151,0,0,2,5,0.247021675,0.039999485,FALSE
1116,1116,musk,1,2,active,ARFF,5581,102,1017,2,170,6598,0,0,167,3,1.632958889,0.124331236,FALSE
1117,1117,desharnais,2,2,active,ARFF,46,3,10,3,13,81,0,0,12,1,0.210030317,0.039998531,FALSE
1119,1119,adult-census,1,2,active,ARFF,24720,41,7841,2,16,32561,2399,4262,7,9,1.038962364,0.052968502,FALSE
1120,1120,MagicTelescope,1,2,active,ARFF,12332,2,6688,2,12,19020,0,0,11,1,0.641009092,0.047031403,FALSE
1121,1121,badges2,1,2,active,ARFF,210,2,84,2,12,294,0,0,8,4,0.220982313,0.040994167,FALSE
1122,1122,AP_Breast_Prostate,1,2,active,ARFF,344,2,69,2,10937,413,0,0,10936,1,9.336908102,0.702967405,FALSE
1123,1123,AP_Endometrium_Breast,1,2,active,ARFF,344,2,61,2,10937,405,0,0,10936,1,8.805951118,0.670039177,FALSE
1124,1124,AP_Omentum_Uterus,1,2,active,ARFF,124,2,77,2,10937,201,0,0,10936,1,5.28665185,0.643998146,FALSE
1125,1125,AP_Omentum_Prostate,1,2,active,ARFF,77,2,69,2,10937,146,0,0,10936,1,4.458961725,0.591999054,FALSE
1126,1126,AP_Colon_Lung,1,2,active,ARFF,286,2,126,2,10937,412,0,0,10936,1,9.117920637,0.688999653,FALSE
1127,1127,AP_Breast_Omentum,1,2,active,ARFF,344,2,77,2,10937,421,0,0,10936,1,9.120952129,0.705999374,FALSE
